bar,sol,remas,
era,sal,mersa,
cara,ras,mesar,
arca,raso,meras,
acera,solar,mares,
cabrea,lora,armes,
cabra,rosa,ares,
beca,rosas,meas,
ceba,solar,sera,
cebra,ros,mesa,
ara,las,rase,
aca,los,raes,
cera,aro,res,
arce,losa,mar,
bra,ola,ser,
abra,rol,amar,
abre,rosal,samare,
eba,oral,rasas,
are,laso,amas,
cabear,sos,rama,
barca,rolas,amares,
cabera,losas,mareas,
careba,sosar,ramase,
cae,salso,mea,
area,loras,era,
becara,solas,mes,
abare,loar,esa,
acabe,osar,sea,
creaba,ralo,eras,
caber,rola,mesera,
bera,sosa,arma,
rea,oras,armase,
cabe,salo,masa,
cabera,aros,asare,
caba,saro,mara,
bara,sora,mas,
raba,soral,ramas,
ero,rasol,asa,
eas,lor,reas,
caera,ora,ama,